#Tests: 7
Test,MinFPS,MaxFPS,AvgFPS,SampleCount
SteadyState Load Test,90.59,118.48,106.53,30
Incremental Load Test,57.95,115.58,101.70,30
Stress Test,51.22,104.81,70.83,30
Positive Spike Test,35.50,96.73,87.35,30
Negative Spike Test,62.82,120.00,112.32,30
Repeated Spike Test,50.41,119.18,66.40,30
Soak Endurance Test,23.91,120.00,106.65,600
