#Tests: 7
Test,MinFPS,MaxFPS,AvgFPS,SampleCount
SteadyState Load Test,13.16,120.00,102.46,30
Incremental Load Test,57.01,120.00,108.05,31
Stress Test,24.82,119.99,65.68,30
Positive Spike Test,45.07,91.28,81.39,30
Negative Spike Test,33.99,120.00,105.87,30
Repeated Spike Test,54.77,110.76,65.88,30
Soak Endurance Test,24.23,120.00,100.00,601
